SampleID,0,1,2,3,4,5,6,7,8,9,10,11,12,subtype
1,0.14011999225856397,0.31120572866266694,0.2914650667698858,0.019353590090961874,0.09521966324753242,0.0005806077027288562,0.002128894910005806,0.05748016257015676,0.040836075091929554,0.017998838784594542,0.011805689955486743,0.011805689955486743,0.0,Mixed
2,0.13243064729194187,0.2684940554821664,0.23447820343461032,0.06505944517833553,0.14960369881109642,0.00297225891677675,0.006935270805812417,0.0,0.0891677675033025,0.05052840158520475,0.0,0.00033025099075297226,0.0,Mixed
3,0.5455265241488519,0.211243072050673,0.06413301662707839,0.024861441013460016,0.03436262866191607,0.022327790973871733,0.01931908155186065,0.019002375296912115,0.023752969121140142,0.023752969121140142,0.0055423594615993665,0.004433887569279493,0.0017418844022169437,Compartimentalized
4,0.49811832003612827,0.03176275779015505,0.018816799638717446,0.019268402830046667,0.02589191630287521,0.2102965527623062,0.019418937227156405,0.1095890410958904,0.014752370916754479,0.01776305885894927,0.004967635104621406,0.01415023332831552,0.015203974108083697,Compartimentalized
5,0.49667036625971145,0.10506844247132816,0.05993340732519423,0.05993340732519423,0.0608583055863855,0.008879023307436182,0.07639659637439881,0.025157232704402517,0.03625601183869774,0.05068442471328154,0.006659267480577136,0.008139104698483167,0.00536440991490936,Compartimentalized
6,0.27575858619539845,0.18272757585861954,0.10570190063354451,0.057685895298432814,0.08986328776258753,0.019839946648882962,0.0938646215405135,0.027342447482494165,0.06718906302100701,0.05801933977992664,0.008169389796598866,0.008002667555851951,0.005835278426142047,Compartimentalized
7,0.08064516129032258,0.14926686217008797,0.1187683284457478,0.1560117302052786,0.10557184750733138,0.11407624633431085,0.08944281524926687,0.0,0.087683284457478,0.09794721407624633,0.0002932551319648094,0.0002932551319648094,0.0,Mixed
8,0.20057397959183673,0.08545918367346939,0.04336734693877551,0.033482142857142856,0.03220663265306122,0.5564413265306123,0.001913265306122449,0.0,0.023278061224489797,0.02295918367346939,0.0,0.00031887755102040814,0.0,Mixed
9,0.36618341749470595,0.1809741000162893,0.11972633979475485,0.0330672748004561,0.0876364228701743,0.03192702394526796,0.022642124124450238,0.039257208014334584,0.052451539338654506,0.03290438182114351,0.010262257696693273,0.013194331324319922,0.009773578758755497,Compartimentalized
10,0.487117903930131,0.18406113537117905,0.15262008733624455,0.01703056768558952,0.06091703056768559,0.0004366812227074236,0.004148471615720524,0.012663755458515284,0.034934497816593885,0.018558951965065504,0.016812227074235808,0.010480349344978166,0.0002183406113537118,Compartimentalized
11,0.06044600938967136,0.3305946791862285,0.23278560250391236,0.017996870109546165,0.11678403755868545,0.16471048513302033,0.0037167449139280124,0.0,0.05242566510172144,0.020539906103286387,0.0,0.0,0.0,Mixed
12,0.1614010007147963,0.4137240886347391,0.32709077912794854,0.0024303073624017154,0.056182987848463185,0.0,0.0,0.008720514653323803,0.012008577555396712,0.0017155110793423873,0.012437455325232308,0.0031451036454610438,0.0011436740528949249,Mixed
